pickup_hour,temporal_residual_demand,subway_ridership,taxi_trip_count
2024-04-18 03:00:00,33.90556824861585,6469,315.0
2024-04-18 04:00:00,18.638305735222048,18307,403.0
2024-04-18 05:00:00,166.521813754219,64853,929.0
2024-04-18 06:00:00,304.22211354635965,149545,2476.0
2024-04-18 07:00:00,707.2451874257367,313253,5240.0
2024-04-18 08:00:00,-160.84973445888136,397654,6545.0
2024-04-18 09:00:00,-162.1093657946003,256594,6477.0
2024-04-18 10:00:00,-2.3460817096620303,166319,6288.0
2024-04-18 11:00:00,-11.67317456379351,147915,6290.0
2024-04-18 12:00:00,163.26998193150757,154660,6665.0
2024-04-18 13:00:00,358.9641764498665,175589,7100.0
2024-04-18 14:00:00,203.1947807465258,221187,7709.0
2024-04-18 15:00:00,-9.794925664398761,279879,7987.0
2024-04-18 16:00:00,-262.0468831244689,320149,7953.0
2024-04-18 17:00:00,486.5936042920348,401789,9518.0
2024-04-18 18:00:00,119.2648095413133,305691,10520.0
2024-04-18 19:00:00,-1596.5368110731742,191780,8103.0
2024-04-18 20:00:00,260.71581525127294,143212,7791.0
2024-04-18 21:00:00,-532.4480142705452,114244,8279.0
2024-04-18 22:00:00,235.31773718523255,88285,8504.0
2024-04-18 23:00:00,-917.9066960410692,52207,5955.0
2024-04-19 00:00:00,-693.3375098790316,26799,2964.0
2024-04-19 01:00:00,260.4120603953586,10515,1501.0
2024-04-19 02:00:00,245.00836507272038,6492,887.0
2024-04-19 03:00:00,162.52490564131176,6829,575.0
2024-04-19 04:00:00,102.26269354863683,17872,545.0
2024-04-19 05:00:00,81.69068647019526,62879,822.0
2024-04-19 06:00:00,59.061765587108084,140117,1992.0
2024-04-19 07:00:00,-147.27462856158672,269437,3729.0
2024-04-19 08:00:00,-290.3560255945913,289540,4787.0
2024-04-19 09:00:00,-360.19143542553775,199716,4805.0
2024-04-19 10:00:00,35.66199685835727,152154,5110.0
2024-04-19 11:00:00,-15.488196852064902,147338,5591.0
2024-04-19 12:00:00,-238.91941559030693,163404,6037.0
2024-04-19 13:00:00,-88.83213132521087,186084,6399.0
2024-04-19 14:00:00,-37.27645985980507,236734,6911.0
2024-04-19 15:00:00,250.32986675868688,285535,7411.0
2024-04-19 16:00:00,-176.1358126094392,307993,7331.0
2024-04-19 17:00:00,141.94558896652143,335821,8220.0
2024-04-19 18:00:00,-152.49684150448593,269601,8631.0
2024-04-19 19:00:00,331.87161306290636,187316,7908.0
2024-04-19 20:00:00,-898.468164001456,140202,6298.0
2024-04-19 21:00:00,-61.310460264044195,120092,6490.0
2024-04-19 22:00:00,758.6594918003293,107817,7378.0
2024-04-19 23:00:00,414.3225925831857,69792,6963.0
2024-04-20 00:00:00,876.0429047217767,39834,6447.0
2024-04-20 01:00:00,171.18145237454155,18354,5268.0
2024-04-20 02:00:00,-89.69332795875471,11071,3797.0
2024-04-20 03:00:00,-249.24216397797545,8150,2256.0
2024-04-20 04:00:00,-227.56981284700282,11309,1101.0
2024-04-20 05:00:00,-165.580385771779,23011,513.0
2024-04-20 06:00:00,-207.08606161473972,44807,979.0
2024-04-20 07:00:00,-825.1763134305797,68143,1532.0
2024-04-20 08:00:00,41.481043158432385,89106,2683.0
2024-04-20 09:00:00,505.8912949771957,108378,3942.0
2024-04-20 10:00:00,69.77458024829775,125042,4870.0
2024-04-20 11:00:00,162.2751864914153,140354,5867.0
2024-04-20 12:00:00,-250.9036787927762,157839,6411.0
2024-04-20 13:00:00,173.40974686961817,173491,6821.0
2024-04-20 14:00:00,-414.9206462793072,180922,6752.0
2024-04-20 15:00:00,279.3651654885607,202167,7100.0
2024-04-20 16:00:00,603.9449167469729,205407,7842.0
2024-04-20 17:00:00,-174.66646989797846,196126,8322.0
2024-04-20 18:00:00,51.711074714658025,182828,8517.0
2024-04-20 19:00:00,862.6179478586964,158854,8253.0
2024-04-20 20:00:00,-244.03458917998523,128308,7131.0
2024-04-20 21:00:00,1182.0906483237095,114824,8265.0
2024-04-20 22:00:00,1001.8083023097051,93919,8978.0
2024-04-20 23:00:00,1477.798094018297,67742,9278.0
2024-04-21 00:00:00,81.83565836447724,37224,7769.0
2024-04-21 01:00:00,376.37539422335976,21053,6518.0
2024-04-21 02:00:00,-101.67189134990076,11264,4906.0
2024-04-21 03:00:00,-379.59166599142236,7569,2890.0
2024-04-21 04:00:00,-12.19296398473898,9734,1550.0
2024-04-21 05:00:00,-66.38495762567027,16951,633.0
2024-04-21 06:00:00,62.753814087716364,33624,924.0
2024-04-21 07:00:00,-356.7610593699844,50352,1444.0
2024-04-21 08:00:00,71.19281188360696,69264,2084.0
2024-04-21 09:00:00,851.153211114538,90967,3329.0
2024-04-21 10:00:00,724.9006778581265,105566,4731.0
2024-04-21 11:00:00,45.80873923247418,119539,5434.0
2024-04-21 12:00:00,394.77561312204125,138104,6318.0
2024-04-21 13:00:00,-15.393324772291635,146590,6651.0
2024-04-21 14:00:00,293.5707189705554,150173,7094.0
2024-04-21 15:00:00,-590.456204842194,150468,6163.0
2024-04-21 16:00:00,41.07630654978129,157027,5977.0
2024-04-21 17:00:00,-373.1271291492003,146210,6168.0
2024-04-21 18:00:00,-376.63163603176963,131651,6032.0
2024-04-21 19:00:00,-230.03922817128387,101498,4802.0
2024-04-21 20:00:00,197.9366749479359,83569,4628.0
2024-04-21 21:00:00,-1329.1271489980127,68871,4411.0
2024-04-21 22:00:00,-1174.7566116886455,52228,3153.0
2024-04-21 23:00:00,-91.99538868696345,32411,2230.0
2024-04-22 00:00:00,-600.2360229193562,15871,1193.0
2024-04-22 01:00:00,-585.42283713284,6813,499.0
2024-04-22 02:00:00,-347.48868025157753,4509,278.0
2024-04-22 03:00:00,-141.46609048601,5825,234.0
2024-04-22 04:00:00,-2.7644107075430497,16984,346.0
2024-04-22 05:00:00,204.09832413383174,60864,752.0
2024-04-22 06:00:00,118.76277308951899,129036,1806.0
2024-04-22 07:00:00,22.671081433342806,224617,3286.0
2024-04-22 08:00:00,-4.119812000994898,289375,4171.0
2024-04-22 09:00:00,-20.298907648094428,195988,4315.0
2024-04-22 10:00:00,-275.76348115837663,141768,4291.0
2024-04-22 11:00:00,-17.775269361924984,133680,4735.0
2024-04-22 12:00:00,-405.10218815504777,141021,4991.0
2024-04-22 13:00:00,-77.73876508206922,154557,5341.0
2024-04-22 14:00:00,-485.2217843247263,179484,5598.0
2024-04-22 15:00:00,73.41616044605507,231089,5942.0
2024-04-22 16:00:00,-226.91941956048595,276802,5918.0
2024-04-22 17:00:00,56.361581212927376,327853,6699.0
2024-04-22 18:00:00,-771.7366394484297,243156,6194.0
2024-04-22 19:00:00,122.27189391126467,155874,4967.0
2024-04-22 20:00:00,398.70213373614934,116497,4894.0
2024-04-22 21:00:00,-159.37748505414584,89180,5296.0
2024-04-22 22:00:00,807.7553874144369,72241,5582.0
2024-04-22 23:00:00,-692.9767734692241,39331,3065.0
2024-04-23 00:00:00,131.08823292372176,20584,1306.0
2024-04-23 01:00:00,216.5627184976202,7342,535.0
2024-04-23 02:00:00,63.553905875392445,4722,253.0
2024-04-23 03:00:00,1.1914702455533757,5907,153.0
2024-04-23 04:00:00,-52.74975274242212,17103,217.0
2024-04-23 05:00:00,66.46011458224802,61375,659.0
2024-04-23 06:00:00,-220.48664930776863,131037,1661.0
2024-04-23 07:00:00,-420.58126495059787,235161,3141.0
2024-04-23 08:00:00,-252.84398116263583,332795,4349.0
2024-04-23 09:00:00,78.91905819343901,228353,4997.0
2024-04-23 10:00:00,-616.3661829794728,152253,4764.0
2024-04-23 11:00:00,109.97518786845103,138513,5208.0
2024-04-23 12:00:00,-226.20179826334152,147797,5506.0
2024-04-23 13:00:00,-9.327986337993025,160601,5772.0
2024-04-23 14:00:00,-238.1032071134032,187866,6088.0
2024-04-23 15:00:00,-86.03377496460598,237899,6246.0
2024-04-23 16:00:00,-137.03541092112755,297357,6318.0
2024-04-23 17:00:00,175.78254370690775,380631,7356.0
2024-04-23 18:00:00,-392.9314188047092,280011,7419.0
2024-04-23 19:00:00,-76.77352837599028,171894,6115.0
2024-04-23 20:00:00,319.0492242200344,127186,5963.0
2024-04-23 21:00:00,43.77691053650142,110678,6799.0
2024-04-23 22:00:00,-454.68868329908764,78902,6181.0
2024-04-23 23:00:00,-1143.453968730597,42873,3078.0
2024-04-24 00:00:00,463.5333415058178,21643,1423.0
2024-04-24 01:00:00,194.14121170590067,8076,569.0
2024-04-24 02:00:00,137.04730443042268,5017,279.0
2024-04-24 03:00:00,96.55999790595894,6124,203.0
2024-04-24 04:00:00,39.498112193715144,17385,282.0
2024-04-24 05:00:00,71.00231421290096,61142,649.0
2024-04-24 06:00:00,30.189962882551526,130533,1803.0
2024-04-24 07:00:00,478.60164144782266,240808,4132.0
2024-04-24 08:00:00,-357.39006563738167,341673,5133.0
2024-04-24 09:00:00,-178.2068256105049,236359,5248.0
2024-04-24 10:00:00,-428.35787278945554,154901,4991.0
2024-04-24 11:00:00,148.80591835997166,142605,5482.0
2024-04-24 12:00:00,-19.692530710352003,152091,6011.0
2024-04-24 13:00:00,-386.69011993990534,165020,5934.0
2024-04-24 14:00:00,872.0386587596131,194996,7314.0
2024-04-24 15:00:00,-1032.8351599488306,234303,6632.0
2024-04-24 16:00:00,-338.3017352757388,294946,6541.0
2024-04-24 17:00:00,-482.60982370630336,377792,7172.0
2024-04-24 18:00:00,-356.02239447251577,289008,7700.0
2024-04-24 19:00:00,-116.75794528930419,181990,6799.0
2024-04-24 20:00:00,7.45165941455889,136777,6458.0
2024-04-24 21:00:00,-295.8253353449154,115530,7066.0
2024-04-24 22:00:00,28.846317441937572,90393,6964.0
2024-04-24 23:00:00,-1147.6355658888506,48433,3872.0
2024-04-25 00:00:00,441.30554324912896,24338,2083.0
2024-04-25 01:00:00,21.002826393946634,8605,866.0
2024-04-25 02:00:00,209.51640979312924,5386,495.0
2024-04-25 03:00:00,31.97033292532268,6485,306.0
2024-04-25 04:00:00,50.003854226456156,17681,378.0
2024-04-25 05:00:00,50.840125112742385,61852,760.0
2024-04-25 06:00:00,13.626671502890758,132117,2012.0
2024-04-25 07:00:00,-106.23802440122017,239351,4022.0
2024-04-25 08:00:00,-122.16167245891302,335687,5475.0
2024-04-25 09:00:00,-527.8353363878323,236746,5492.0
2024-04-25 10:00:00,-73.09272082901589,162468,5647.0
2024-04-25 11:00:00,-60.562674362434336,145950,5979.0
2024-04-25 12:00:00,-187.19517393999377,154197,6286.0
2024-04-25 13:00:00,59.58306048855229,170618,6624.0
2024-04-25 14:00:00,-200.49328231151048,196877,7114.0
2024-04-25 15:00:00,-69.65954635868366,250563,7293.0
2024-04-25 16:00:00,-66.15368231433058,308083,7356.0
2024-04-25 17:00:00,-165.4873358652767,391215,8112.0
2024-04-25 18:00:00,148.0837506401258,301241,8994.0
2024-04-25 19:00:00,-72.81262691381016,192331,7853.0
2024-04-25 20:00:00,230.1685887308522,147105,7399.0
2024-04-25 21:00:00,258.6054472784217,127208,8184.0
2024-04-25 22:00:00,382.82389046698336,92753,8410.0
2024-04-25 23:00:00,-680.1177700142543,54173,5840.0
2024-04-26 00:00:00,-142.09960411217025,27266,3112.0
2024-04-26 01:00:00,265.6883514440449,10941,1568.0
2024-04-26 02:00:00,259.0653658748506,6368,913.0
2024-04-26 03:00:00,121.66604328373921,6736,547.0
2024-04-26 04:00:00,114.95410485204354,17289,487.0
2024-04-26 05:00:00,63.697970643683675,58589,698.0
2024-04-26 06:00:00,-96.04467226614702,120229,1643.0
2024-04-26 07:00:00,-128.6627004391462,200083,3261.0
2024-04-26 08:00:00,-540.0915121919588,241854,4043.0
2024-04-26 09:00:00,-29.39027282366351,187599,4454.0
2024-04-26 10:00:00,3.767607803689316,152452,4917.0
2024-04-26 11:00:00,-382.174495732831,147783,5099.0
2024-04-26 12:00:00,-117.53092275367635,162836,5545.0
2024-04-26 13:00:00,-115.59180194118562,179426,5855.0
2024-04-26 14:00:00,-4.106894410490895,207664,6519.0
2024-04-26 15:00:00,75.06423804999667,253955,6971.0
2024-04-26 16:00:00,-231.48117622849713,291076,6944.0
2024-04-26 17:00:00,-213.89847970451956,320634,7533.0
2024-04-26 18:00:00,-9.491974229501466,259604,8103.0
2024-04-26 19:00:00,-91.20912466499703,190851,7146.0
2024-04-26 20:00:00,-283.5643989598602,144638,6207.0
2024-04-26 21:00:00,30.067109356912624,122239,6719.0
2024-04-26 22:00:00,266.04992437971396,104031,7109.0
2024-04-26 23:00:00,1568.3878812193661,52285,7618.0
2024-04-27 00:00:00,-8.400249993848774,41009,6169.0
2024-04-27 01:00:00,63.04337115473572,19511,4595.0
2024-04-27 02:00:00,-60.412586946303236,11264,3205.0
2024-04-27 03:00:00,-91.07275519374252,8401,1990.0
2024-04-27 04:00:00,-143.8454488997902,11502,1059.0
2024-04-27 05:00:00,-208.68580231633405,22939,490.0
2024-04-27 06:00:00,-236.4331780790692,44892,909.0
2024-04-27 07:00:00,-835.7035995487281,67390,1417.0
2024-04-27 08:00:00,-274.5205291838256,87813,2198.0
2024-04-27 09:00:00,523.4768075654815,112293,3520.0
2024-04-27 10:00:00,-36.35482056052206,129041,4425.0
2024-04-27 11:00:00,34.76411398893924,142324,5292.0
2024-04-27 12:00:00,-48.43072965816464,162847,5951.0
2024-04-27 13:00:00,-85.33027235965892,176371,6224.0
2024-04-27 14:00:00,-638.5031760833963,183945,6033.0
2024-04-27 15:00:00,133.4812114969318,196286,6370.0
2024-04-27 16:00:00,1145.626931457522,211282,7958.0
2024-04-27 17:00:00,-335.9075108157522,199760,8540.0
